annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.001667,1e-06,0.0025939,0.0025939,0.997406,0.999846,10.811,4.32415e-06,4.32415e-06,0.00166272,0.26,1.0
0.001667,1e-05,0.0142213,0.0142213,0.985779,0.999713,5.72438,2.37075e-05,2.37075e-05,0.00164334,0.26,1.0
0.001667,0.0001,0.0869492,0.0869492,0.913051,0.99935,2.34159,0.000144948,0.000144948,0.0015221,0.26,1.0
0.001667,0.001,0.470052,0.470052,0.529948,0.996831,0.278754,0.000783598,0.000783598,0.000883449,0.26,1.0
0.001667,0.01,0.862593,0.862593,0.137407,0.973236,0.00855881,0.00143798,0.00143798,0.000229064,0.26,1.0
0.001667,0.1,0.965358,0.965358,0.0346425,0.808815,0.000302067,0.0016093,0.0016093,5.77507e-05,0.26,1.0
