annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.008542,1e-06,0.847111,0.0023538,0.997646,0.999841,8.20989,0.00723599,3.08125e-06,0.00130597,0.32,1.0
0.008542,1e-05,0.848839,0.0136295,0.986371,0.999702,4.33882,0.00725075,1.78417e-05,0.00129121,0.32,1.0
0.008542,0.0001,0.859612,0.0839311,0.916069,0.99932,1.76456,0.00734277,0.00010987,0.00119918,0.32,1.0
0.008542,0.001,0.915623,0.449418,0.550582,0.996615,0.212945,0.00782122,0.000588313,0.000720742,0.32,1.0
0.008542,0.01,0.97459,0.834191,0.165809,0.971084,0.0075063,0.00832491,0.001092,0.000217053,0.32,1.0
0.008542,0.1,0.993239,0.955884,0.0441163,0.808815,0.000302067,0.00848421,0.0012513,5.77507e-05,0.32,1.0
