annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
0.002415,0.1,0.9675,0.903309,0.0966906,0.826024,0.000451231,0.00233699,0.000733401,7.85035e-05,6878.137,0.26,0.5
0.004625,1e-09,0.681932,0.0,1.0,0.999993,199.159,0.00315381,0.0,0.00147101,6978.137,0.26,0.5
0.004625,7.7e-09,0.681974,0.0,1.0,0.99999,140.23,0.00315401,0.0,0.00147081,6978.137,0.26,0.5
0.004625,6e-08,0.682301,0.0,1.0,0.999982,80.9625,0.00315552,0.0,0.0014693,6978.137,0.26,0.5
0.004625,4.6e-07,0.684777,0.00737655,0.992623,0.999935,22.3922,0.00316697,1.08338e-05,0.00145785,6978.137,0.26,0.5
0.004625,3.6e-06,0.68814,0.0179662,0.982034,0.999772,6.32504,0.00318252,2.63866e-05,0.0014423,6978.137,0.26,0.5
0.004625,2.8e-05,0.699332,0.053211,0.946789,0.99894,1.31234,0.00323429,7.81502e-05,0.00139053,6978.137,0.26,0.5
0.004625,0.00022,0.711335,0.0910079,0.908992,0.996453,0.376379,0.0032898,0.000133662,0.00133502,6978.137,0.26,0.5
0.004625,0.0017,0.74489,0.196669,0.803331,0.991437,0.137787,0.00344498,0.000288845,0.00117984,6978.137,0.26,0.5
0.004625,0.013,0.853769,0.539524,0.460476,0.962391,0.0179821,0.00394853,0.00079239,0.000676294,6978.137,0.26,0.5
0.004625,0.1,0.96863,0.901218,0.0987817,0.776113,0.000648001,0.00447974,0.0013236,0.000145079,6978.137,0.26,0.5
0.008832,1e-09,0.743608,0.0,1.0,0.999981,120.7,0.00656723,0.0,0.00226434,7078.137,0.26,0.5
0.008832,7.7e-09,0.743622,0.0,1.0,0.999974,85.5099,0.00656735,0.0,0.00226423,7078.137,0.26,0.5
0.008832,6e-08,0.743724,0.0,1.0,0.999955,50.1157,0.00656825,0.0,0.00226332,7078.137,0.26,0.5
0.008832,4.6e-07,0.744499,0.00270476,0.997295,0.999851,15.1186,0.00657509,6.11977e-06,0.00225648,7078.137,0.26,0.5
0.008832,3.6e-06,0.745654,0.00721442,0.992786,0.999554,5.03445,0.0065853,1.63233e-05,0.00224627,7078.137,0.26,0.5
0.008832,2.8e-05,0.75005,0.0243715,0.975629,0.998379,1.36212,0.00662412,5.51428e-05,0.00220745,7078.137,0.26,0.5
0.008832,0.00022,0.756237,0.0485211,0.951479,0.996178,0.563215,0.00667876,0.000109784,0.00215281,7078.137,0.26,0.5
0.008832,0.0017,0.781878,0.148606,0.851394,0.99176,0.233779,0.00690521,0.000336236,0.00192636,7078.137,0.26,0.5
0.008832,0.013,0.879848,0.53101,0.46899,0.964689,0.030051,0.00777044,0.00120146,0.00106113,7078.137,0.26,0.5
0.008832,0.1,0.984841,0.940829,0.0591713,0.776357,0.000598637,0.00869769,0.00212872,0.000133881,7078.137,0.26,0.5
0.01339,1e-09,0.800937,0.0,1.0,0.999966,77.7866,0.010724,0.0,0.00266532,7178.137,0.26,0.5
0.01339,7.7e-09,0.800942,0.0,1.0,0.999952,55.7665,0.0107241,0.0,0.00266525,7178.137,0.26,0.5
0.01339,6e-08,0.800984,0.0,1.0,0.999921,33.6173,0.0107246,0.0,0.00266469,7178.137,0.26,0.5
0.01339,4.6e-07,0.801305,0.00120735,0.998793,0.999773,11.6954,0.0107289,3.21591e-06,0.00266039,7178.137,0.26,0.5
0.01339,3.6e-06,0.801847,0.0039342,0.996066,0.99945,4.8216,0.0107362,1.04792e-05,0.00265313,7178.137,0.26,0.5
0.01339,2.8e-05,0.804159,0.0155551,0.984445,0.998672,1.97517,0.0107672,4.14326e-05,0.00262218,7178.137,0.26,0.5
0.01339,0.00022,0.810864,0.0492603,0.95074,0.997063,0.862243,0.0108569,0.00013121,0.0025324,7178.137,0.26,0.5
0.01339,0.0017,0.837788,0.184597,0.815403,0.992247,0.280122,0.0112174,0.000491694,0.00217192,7178.137,0.26,0.5
0.01339,0.013,0.912966,0.5625,0.4375,0.964369,0.0327051,0.012224,0.00149828,0.00116533,7178.137,0.26,0.5
0.01339,0.1,0.987116,0.935235,0.064765,0.779259,0.000781498,0.0132168,0.0024911,0.000172509,7178.137,0.26,0.5
0.01003,1e-09,0.86614,0.0,1.0,0.999973,50.3261,0.008685,0.0,0.00134225,7278.137,0.26,0.5
0.01003,7.7e-09,0.866144,0.0,1.0,0.999963,36.3951,0.00868505,0.0,0.0013422,7278.137,0.26,0.5
0.01003,6e-08,0.86618,0.0,1.0,0.99994,22.3821,0.0086854,0.0,0.00134185,7278.137,0.26,0.5
0.01003,4.6e-07,0.866451,0.00165851,0.998341,0.999843,8.50436,0.00868812,2.22464e-06,0.00133913,7278.137,0.26,0.5
0.01003,3.6e-06,0.866948,0.00537345,0.994627,0.999661,3.93851,0.00869311,7.20769e-06,0.00133414,7278.137,0.26,0.5
0.01003,2.8e-05,0.869259,0.0226456,0.977354,0.999294,1.857,0.00871628,3.03758e-05,0.00131098,7278.137,0.26,0.5
0.01003,0.00022,0.878848,0.0943279,0.905672,0.998344,0.733775,0.00881243,0.000126527,0.00121482,7278.137,0.26,0.5
0.01003,0.0017,0.911662,0.339629,0.660371,0.993515,0.1366,0.00914146,0.000455562,0.000885789,7278.137,0.26,0.5
0.01003,0.013,0.956483,0.674691,0.325309,0.963357,0.0119084,0.0095909,0.000904997,0.000436354,7278.137,0.26,0.5
0.01003,0.1,0.991789,0.938621,0.0613789,0.786821,0.000386204,0.00994492,0.00125902,8.23307e-05,7278.137,0.26,0.5
0.006233,1e-09,0.882259,0.0,1.0,0.999978,32.7817,0.0054991,0.0,0.000733878,7378.137,0.26,0.5
0.006233,7.7e-09,0.882264,0.0,1.0,0.999969,23.4165,0.00549913,0.0,0.000733848,7378.137,0.26,0.5
0.006233,6e-08,0.882302,0.0,1.0,0.999948,13.9962,0.00549937,0.0,0.000733608,7378.137,0.26,0.5
0.006233,4.6e-07,0.882596,0.000934821,0.999065,0.999843,4.65944,0.0055012,6.84719e-07,0.000731776,7378.137,0.26,0.5
0.006233,3.6e-06,0.883073,0.00499626,0.995004,0.999593,1.79246,0.00550418,3.65956e-06,0.000728801,7378.137,0.26,0.5
0.006233,2.8e-05,0.885012,0.0214963,0.978504,0.998966,0.692892,0.00551626,1.57452e-05,0.000716716,7378.137,0.26,0.5
0.006233,0.00022,0.890623,0.0692384,0.930762,0.997292,0.251707,0.00555123,5.07144e-05,0.000681746,7378.137,0.26,0.5
0.006233,0.0017,0.908561,0.221891,0.778109,0.989694,0.0552993,0.00566305,0.000162526,0.000569935,7378.137,0.26,0.5
0.006233,0.013,0.937355,0.466911,0.533089,0.946031,0.00723508,0.00584251,0.000341994,0.000390467,7378.137,0.26,0.5
0.006233,0.1,0.971616,0.758459,0.241541,0.786973,0.000830501,0.00605606,0.000555541,0.00017692,7378.137,0.26,0.5
0.004549,1e-09,0.935403,0.0,1.0,0.999987,22.1668,0.00425478,0.0,0.000293825,7478.137,0.26,0.5
0.004549,7.7e-09,0.935408,0.0,1.0,0.999981,15.8178,0.0042548,0.0,0.000293804,7478.137,0.26,0.5
0.004549,6e-08,0.935444,0.0,1.0,0.999969,9.4317,0.00425496,0.0,0.000293641,7478.137,0.26,0.5
0.004549,4.6e-07,0.935716,0.00308703,0.996913,0.999906,3.10438,0.0042562,9.05444e-07,0.000292401,7478.137,0.26,0.5
