annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.002369,1e-06,0.215533,0.0024018,0.997598,0.999729,6.86739,0.000510544,4.47377e-06,0.0018582,0.32,1.0
0.002369,1e-05,0.220579,0.00881786,0.991182,0.999507,3.74508,0.000522495,1.64248e-05,0.00184625,0.32,1.0
0.002369,0.0001,0.250707,0.0471323,0.952868,0.998925,1.65116,0.000593862,8.77922e-05,0.00177488,0.32,1.0
0.002369,0.001,0.45071,0.301474,0.698526,0.996404,0.36183,0.00106762,0.000561549,0.00130113,0.32,1.0
0.002369,0.01,0.793656,0.737594,0.262406,0.981708,0.0267213,0.00187997,0.0013739,0.000488777,0.32,1.0
0.002369,0.1,0.979656,0.974128,0.0258716,0.844682,0.000310268,0.00232056,0.00181449,4.81904e-05,0.32,1.0
