annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.003175,1e-06,0.795739,0.025275,0.974725,0.99993,9.28814,0.0025264,1.68162e-05,0.000648513,0.32,1.0
0.003175,1e-05,0.80148,0.0526735,0.947326,0.999788,2.97788,0.00254463,3.50453e-05,0.000630284,0.32,1.0
0.003175,0.0001,0.825697,0.168236,0.831764,0.999102,0.616084,0.00262152,0.000111933,0.000553397,0.32,1.0
0.003175,0.001,0.873309,0.395436,0.604564,0.995932,0.0988797,0.00277268,0.000263095,0.000402234,0.32,1.0
0.003175,0.01,0.940233,0.714796,0.285204,0.979188,0.00911756,0.00298516,0.000475575,0.000189755,0.32,1.0
0.003175,0.1,0.997023,0.985796,0.014204,0.82229,5.31784e-05,0.00316547,0.000655879,9.45033e-06,0.32,1.0
