annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.0074,1e-06,0.165426,0.000391139,0.999609,0.999488,12.0716,0.00122413,2.41651e-06,0.00617573,0.32,1.0
0.0074,1e-05,0.167952,0.00341659,0.996583,0.998766,4.99033,0.00124282,2.11082e-05,0.00615704,0.32,1.0
0.0074,0.0001,0.180698,0.0186835,0.981317,0.997363,2.29885,0.00133714,0.000115429,0.00606272,0.32,1.0
0.0074,0.001,0.247369,0.0985383,0.901462,0.994058,0.937324,0.0018305,0.000608784,0.00556936,0.32,1.0
0.0074,0.01,0.569235,0.484053,0.515947,0.969628,0.104953,0.00421226,0.00299055,0.0031876,0.32,1.0
0.0074,0.1,0.928041,0.913811,0.0861889,0.803838,0.00271453,0.00686737,0.00564566,0.000532488,0.32,1.0
