annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor
0.0006906,0.0001,0.968002,0.796218,0.203782,0.999009,0.0222897,0.000668499,8.63416e-05,2.20981e-05,6678.137,130.0,0.32,1.0
0.002217,0.0001,0.886147,0.232284,0.767716,0.999094,0.278523,0.00196438,7.63625e-05,0.000252384,6778.137,130.0,0.32,1.0
0.004105,0.0001,0.869514,0.179495,0.820505,0.999313,0.779623,0.0035692,0.000117173,0.000535621,6878.137,130.0,0.32,1.0
0.006155,0.0001,0.872683,0.118496,0.881504,0.998995,0.779718,0.00537144,0.000105342,0.000783651,6978.137,130.0,0.32,1.0
0.01088,0.0001,0.883468,0.0653429,0.934657,0.998848,1.10074,0.00960956,8.86142e-05,0.00126753,7078.137,130.0,0.32,1.0
0.01908,0.0001,0.904912,0.0469242,0.953076,0.998876,1.61405,0.0172624,8.93079e-05,0.00181393,7178.137,130.0,0.32,1.0
0.01257,0.0001,0.920945,0.0656228,0.934377,0.999139,1.15429,0.0115754,6.97857e-05,0.000993651,7278.137,130.0,0.32,1.0
0.008129,0.0001,0.927755,0.0520373,0.947963,0.998661,0.438623,0.0075415,3.22372e-05,0.000587264,7378.137,130.0,0.32,1.0
0.005259,0.0001,0.949748,0.0782951,0.921705,0.999107,0.296057,0.00499498,2.24503e-05,0.000264289,7478.137,130.0,0.32,1.0
0.004833,0.0001,0.959125,0.0729289,0.927071,0.998955,0.189106,0.00463556,1.55405e-05,0.000197551,7578.137,130.0,0.32,1.0
0.0001013,0.0001,0.775642,0.536704,0.463296,0.998553,0.0157087,7.85619e-05,2.63251e-05,2.27244e-05,6578.137,140.0,0.32,1.0
0.0006598,0.0001,0.979108,0.844688,0.155312,0.99895,0.0131283,0.000645995,7.49651e-05,1.37838e-05,6678.137,140.0,0.32,1.0
0.00193,0.0001,0.888283,0.271569,0.728431,0.999181,0.263201,0.00171477,8.04015e-05,0.000215661,6778.137,140.0,0.32,1.0
0.003336,0.0001,0.876532,0.212182,0.787818,0.999408,0.695132,0.00292375,0.000110919,0.000411837,6878.137,140.0,0.32,1.0
0.005617,0.0001,0.873438,0.120339,0.879661,0.998989,0.703209,0.00490647,9.72597e-05,0.000710953,6978.137,140.0,0.32,1.0
0.009942,0.0001,0.887393,0.0694402,0.93056,0.998922,1.03869,0.00882266,8.3544e-05,0.00111956,7078.137,140.0,0.32,1.0
0.01723,0.0001,0.902401,0.0493314,0.950669,0.998958,1.61327,0.0155475,8.72571e-05,0.00168154,7178.137,140.0,0.32,1.0
0.01107,0.0001,0.916727,0.0654784,0.934522,0.999159,1.09619,0.0101477,6.45865e-05,0.000921793,7278.137,140.0,0.32,1.0
0.007572,0.0001,0.929837,0.0523972,0.947603,0.998734,0.419808,0.00704072,2.93767e-05,0.000531276,7378.137,140.0,0.32,1.0
0.004816,0.0001,0.952211,0.0835492,0.916451,0.999165,0.275662,0.00458593,2.09824e-05,0.000230156,7478.137,140.0,0.32,1.0
0.004366,0.0001,0.958426,0.0720425,0.927957,0.998999,0.181245,0.00418425,1.4091e-05,0.000181502,7578.137,140.0,0.32,1.0
0.0001094,0.0001,0.8137,0.540695,0.459305,0.998951,0.0194303,8.90206e-05,2.39933e-05,2.03817e-05,6578.137,150.0,0.32,1.0
0.0008923,0.0001,0.97228,0.750201,0.249799,0.999487,0.0481992,0.000867571,7.42838e-05,2.47347e-05,6678.137,150.0,0.32,1.0
0.002235,0.0001,0.918259,0.292264,0.707736,0.999196,0.22728,0.00205226,7.54413e-05,0.000182686,6778.137,150.0,0.32,1.0
0.003313,0.0001,0.880758,0.21114,0.78886,0.999357,0.614597,0.00291812,0.000105742,0.000395071,6878.137,150.0,0.32,1.0
0.005494,0.0001,0.881234,0.121098,0.878902,0.999077,0.707241,0.0048411,8.98967e-05,0.00065245,6978.137,150.0,0.32,1.0
0.00966,0.0001,0.893121,0.0801374,0.919863,0.999062,1.10126,0.00862744,8.99449e-05,0.00103244,7078.137,150.0,0.32,1.0
0.01505,0.0001,0.898642,0.0520688,0.947931,0.999101,1.69705,0.0135244,8.3789e-05,0.00152541,7178.137,150.0,0.32,1.0
0.0102,0.0001,0.913353,0.0628302,0.93717,0.999184,1.08197,0.00931235,5.92273e-05,0.000883429,7278.137,150.0,0.32,1.0
0.007326,0.0001,0.93482,0.0540276,0.945972,0.998774,0.389621,0.00684893,2.72739e-05,0.000477541,7378.137,150.0,0.32,1.0
0.004406,0.0001,0.951932,0.0797278,0.920272,0.999172,0.255913,0.00419429,1.83486e-05,0.000211792,7478.137,150.0,0.32,1.0
