annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.001241,1e-06,0.369639,0.00469828,0.995302,0.999851,5.24312,0.000458901,3.69415e-06,0.000782584,0.32,1.0
0.001241,1e-05,0.378792,0.019151,0.980849,0.999645,2.16976,0.000470265,1.5058e-05,0.00077122,0.32,1.0
0.001241,0.0001,0.413976,0.074704,0.925296,0.999116,0.822919,0.000513945,5.87381e-05,0.00072754,0.32,1.0
0.001241,0.001,0.611261,0.386205,0.613795,0.996265,0.129224,0.000758871,0.000303664,0.000482613,0.32,1.0
0.001241,0.01,0.913826,0.863937,0.136063,0.974959,0.0042723,0.0011345,0.000679294,0.000106984,0.32,1.0
0.001241,0.1,0.985421,0.976981,0.0230189,0.841881,0.000114466,0.00122339,0.000768179,1.80992e-05,0.32,1.0
