annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.07387,1e-06,0.83716,0.000404815,0.999595,0.999436,21.3214,0.0618437,4.87171e-06,0.0120295,0.32,1.0
0.07387,1e-05,0.837796,0.00431311,0.995687,0.997968,5.897,0.0618907,5.19057e-05,0.0119825,0.32,1.0
0.07387,0.0001,0.83942,0.0142803,0.98572,0.995643,2.72266,0.0620107,0.000171855,0.0118626,0.32,1.0
0.07387,0.001,0.846576,0.0582059,0.941794,0.989192,1.04865,0.0625393,0.000700473,0.0113339,0.32,1.0
0.07387,0.01,0.887107,0.307006,0.692994,0.965808,0.243911,0.0655334,0.00369463,0.00833977,0.32,1.0
0.07387,0.1,0.963656,0.776905,0.223095,0.843517,0.0171573,0.0711884,0.00934959,0.00268482,0.32,1.0
