annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.0133,1e-06,0.862425,0.00243371,0.997566,0.999729,6.74373,0.0114709,4.46422e-06,0.00182986,0.32,1.0
0.0133,1e-05,0.863311,0.00886239,0.991138,0.999504,3.6618,0.0114827,1.62565e-05,0.00181807,0.32,1.0
0.0133,0.0001,0.868556,0.0468918,0.953108,0.998914,1.60915,0.0115525,8.60149e-05,0.00174831,0.32,1.0
0.0133,0.001,0.90316,0.297808,0.702192,0.996389,0.356736,0.0120127,0.000546276,0.00128805,0.32,1.0
0.0133,0.01,0.963621,0.736215,0.263785,0.981719,0.0264678,0.0128169,0.00135046,0.000483868,0.32,1.0
0.0133,0.1,0.9964,0.973895,0.0261046,0.844628,0.000308191,0.0132529,0.00178644,4.78844e-05,0.32,1.0
