annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.004063,1e-06,0.678845,0.0310535,0.968947,0.999937,20.7612,0.00275828,4.18208e-05,0.00130491,0.26,1.0
0.004063,1e-05,0.688723,0.0608552,0.939145,0.999808,6.57789,0.00279842,8.19557e-05,0.00126478,0.26,1.0
0.004063,0.0001,0.731631,0.19031,0.80969,0.999027,1.12068,0.00297276,0.000256297,0.00109044,0.26,1.0
0.004063,0.001,0.799166,0.394071,0.605929,0.996109,0.209743,0.00324717,0.000530709,0.000816025,0.26,1.0
0.004063,0.01,0.909504,0.726968,0.273032,0.978696,0.01726,0.00369549,0.000979032,0.000367702,0.26,1.0
0.004063,0.1,0.990062,0.970015,0.0299846,0.8187,0.000222733,0.00402281,0.00130635,4.03813e-05,0.26,1.0
