annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.001289,1e-06,0.299195,0.0163986,0.983601,0.999909,9.96194,0.000385789,1.50653e-05,0.000903634,0.32,1.0
0.001289,1e-05,0.31409,0.0373041,0.962696,0.999747,3.49564,0.000404994,3.42713e-05,0.000884428,0.32,1.0
0.001289,0.0001,0.383156,0.13424,0.86576,0.998985,0.783839,0.00049405,0.000123327,0.000795372,0.32,1.0
0.001289,0.001,0.53274,0.344187,0.655813,0.996041,0.152168,0.000686927,0.000316204,0.000602495,0.32,1.0
0.001289,0.01,0.785875,0.699469,0.300531,0.976908,0.0119566,0.00101332,0.000642601,0.000276098,0.32,1.0
0.001289,0.1,0.968683,0.956045,0.0439549,0.8187,0.000222733,0.00124904,0.000878318,4.03813e-05,0.32,1.0
