annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
0.01787,0.0001,0.87471,0.0375608,0.962439,0.998447,1.44239,0.0156354,8.74028e-05,0.00223957,7278.137,0.26,0.5
0.01097,0.0001,0.892598,0.0347133,0.965287,0.997528,0.47646,0.00978889,4.23574e-05,0.00117785,7378.137,0.26,0.5
0.007473,0.0001,0.938436,0.0564947,0.943505,0.998439,0.294779,0.00701277,2.7547e-05,0.000460056,7478.137,0.26,0.5
0.008681,0.0001,0.957349,0.0515319,0.948468,0.998558,0.256759,0.00831095,2.01168e-05,0.000370258,7578.137,0.26,0.5
0.0002358,0.0001,0.916258,0.902759,0.0972408,0.999516,0.0408265,0.00021606,0.000183326,1.97469e-05,6578.137,0.24,0.5
0.0008196,0.0001,0.900524,0.79566,0.20434,0.999672,0.248604,0.000738027,0.000317447,8.1526e-05,6678.137,0.24,0.5
0.001468,0.0001,0.679828,0.36576,0.63424,0.998846,0.407204,0.000998113,0.000271085,0.00047007,6778.137,0.24,0.5
0.004147,0.0001,0.720878,0.164931,0.835069,0.997969,0.569883,0.00298938,0.000228609,0.00115748,6878.137,0.24,0.5
0.008027,0.0001,0.701185,0.0730002,0.927,0.996505,0.686211,0.00562838,0.000188885,0.00239858,6978.137,0.24,0.5
0.0153,0.0001,0.729014,0.0343904,0.96561,0.995921,1.01674,0.0111569,0.000147704,0.0041472,7078.137,0.24,0.5
0.0231,0.0001,0.787603,0.0239538,0.976046,0.996914,1.58958,0.0181899,0.000120386,0.00490537,7178.137,0.24,0.5
0.01787,0.0001,0.85853,0.0378394,0.962161,0.998463,1.64521,0.0153462,9.94506e-05,0.00252878,7278.137,0.24,0.5
0.01097,0.0001,0.884714,0.0359221,0.964078,0.997575,0.521384,0.00970243,4.7109e-05,0.00126431,7378.137,0.24,0.5
0.007473,0.0001,0.934858,0.0583135,0.941687,0.998444,0.312786,0.00698603,3.01447e-05,0.000486797,7478.137,0.24,0.5
0.008681,0.0001,0.953777,0.0533289,0.946671,0.998586,0.283713,0.00827994,2.26047e-05,0.000401269,7578.137,0.24,0.5
0.0002358,0.0001,0.914727,0.90627,0.0937304,0.999531,0.0428584,0.000215699,0.000194423,2.01081e-05,6578.137,0.22,0.5
0.0008196,0.0001,0.898249,0.798691,0.201309,0.999669,0.251927,0.000736162,0.000330852,8.33907e-05,6678.137,0.22,0.5
0.001468,0.0001,0.670806,0.371431,0.628569,0.998849,0.419835,0.000984866,0.0002856,0.000483317,6778.137,0.22,0.5
0.004147,0.0001,0.706758,0.166253,0.833747,0.997965,0.597537,0.00293082,0.000242483,0.00121603,6878.137,0.22,0.5
0.008027,0.0001,0.693089,0.0744659,0.925534,0.996523,0.708623,0.0055634,0.000198211,0.00246356,6978.137,0.22,0.5
