annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
0.01339,0.0001,0.811178,0.0508347,0.949165,0.998966,2.44499,0.0108611,0.000135404,0.00252821,7178.137,0.26,1.0
0.01003,0.0001,0.875194,0.0670115,0.932989,0.999177,1.51995,0.00877579,8.98859e-05,0.00125147,7278.137,0.26,1.0
0.006233,0.0001,0.889111,0.0563742,0.943626,0.998743,0.549767,0.00554181,4.12919e-05,0.000691169,7378.137,0.26,1.0
0.004549,0.0001,0.941003,0.0850757,0.914924,0.999101,0.298482,0.00428025,2.49532e-05,0.000268353,7478.137,0.26,1.0
0.005091,0.0001,0.956538,0.0804283,0.919572,0.99916,0.263323,0.00486992,1.93531e-05,0.000221273,7578.137,0.26,1.0
0.000138,0.0001,0.938224,0.928462,0.0715382,0.999558,0.0192967,0.000129498,0.000110663,8.52661e-06,6578.137,0.24,1.0
0.0004822,0.0001,0.949265,0.898144,0.101856,0.999386,0.0398522,0.00045772,0.000215714,2.44637e-05,6678.137,0.24,1.0
0.0008527,0.0001,0.720637,0.451669,0.548331,0.999465,0.445649,0.000614512,0.000196227,0.000238222,6778.137,0.24,1.0
0.002415,0.0001,0.732649,0.219076,0.780924,0.999203,0.810013,0.00176971,0.000181164,0.000645783,6878.137,0.24,1.0
0.004625,0.0001,0.707835,0.104654,0.895346,0.998888,1.21494,0.00327361,0.000157938,0.00135121,6978.137,0.24,1.0
0.008832,0.0001,0.739657,0.0603551,0.939645,0.998847,1.99373,0.00653233,0.000147684,0.00229924,7078.137,0.24,1.0
0.01339,0.0001,0.791304,0.0515622,0.948438,0.998971,2.71517,0.010595,0.000151913,0.0027943,7178.137,0.24,1.0
0.01003,0.0001,0.859577,0.0676687,0.932331,0.999189,1.7353,0.00861919,0.000102197,0.00140806,7278.137,0.24,1.0
0.006233,0.0001,0.88143,0.0582892,0.941711,0.998781,0.606493,0.00549393,4.57449e-05,0.000739047,7378.137,0.24,1.0
0.004549,0.0001,0.937754,0.0873693,0.912631,0.999107,0.317078,0.00426547,2.71052e-05,0.000283132,7478.137,0.24,1.0
0.005091,0.0001,0.953074,0.0830717,0.916928,0.999179,0.29092,0.00485228,2.16448e-05,0.000238911,7578.137,0.24,1.0
0.000138,0.0001,0.938186,0.93217,0.0678304,0.999558,0.0193221,0.000129492,0.000117251,8.53188e-06,6578.137,0.22,1.0
0.0004822,0.0001,0.947625,0.898563,0.101437,0.999392,0.0415611,0.00045693,0.000223712,2.52544e-05,6678.137,0.22,1.0
0.0008527,0.0001,0.712719,0.456123,0.543877,0.999466,0.458962,0.00060776,0.000205448,0.000244974,6778.137,0.22,1.0
0.002415,0.0001,0.719555,0.220128,0.779872,0.999206,0.85326,0.00173808,0.000191207,0.000677412,6878.137,0.22,1.0
0.004625,0.0001,0.700061,0.106165,0.893835,0.998894,1.25374,0.00323765,0.000164761,0.00138717,6978.137,0.22,1.0
0.008832,0.0001,0.718884,0.0618137,0.938186,0.998852,2.16342,0.00634888,0.000163576,0.00248269,7078.137,0.22,1.0
0.01339,0.0001,0.77066,0.0521779,0.947822,0.998975,2.99601,0.0103186,0.000169043,0.00307071,7178.137,0.22,1.0
0.01003,0.0001,0.843742,0.0682668,0.931733,0.999198,1.95294,0.00846042,0.0001148,0.00156683,7278.137,0.22,1.0
0.006233,0.0001,0.87209,0.0604888,0.939511,0.998829,0.680967,0.00543572,5.13304e-05,0.000797263,7378.137,0.22,1.0
0.004549,0.0001,0.93131,0.0899204,0.91008,0.999127,0.357818,0.00423616,3.08708e-05,0.000312442,7478.137,0.22,1.0
0.005091,0.0001,0.947886,0.0866346,0.913365,0.999204,0.333513,0.00482587,2.51665e-05,0.000265323,7578.137,0.22,1.0
0.000138,0.0001,0.938145,0.935706,0.0642939,0.999559,0.019349,0.000129487,0.000124251,8.53749e-06,6578.137,0.2,1.0
0.0004822,0.0001,0.945882,0.898977,0.101023,0.999398,0.043377,0.000456089,0.00023221,2.60947e-05,6678.137,0.2,1.0
0.0008527,0.0001,0.704305,0.460522,0.539478,0.999467,0.473109,0.000600585,0.000215245,0.000252149,6778.137,0.2,1.0
0.002415,0.0001,0.703585,0.220962,0.779038,0.99921,0.905843,0.0016995,0.00020308,0.000715989,6878.137,0.2,1.0
0.004625,0.0001,0.691799,0.107683,0.892317,0.998899,1.29496,0.00319945,0.00017201,0.00142537,6978.137,0.2,1.0
0.008832,0.0001,0.707263,0.0626675,0.937332,0.998856,2.26036,0.00624625,0.000172848,0.00258533,7078.137,0.2,1.0
0.01339,0.0001,0.742005,0.0528183,0.947182,0.99898,3.3877,0.00993496,0.000192629,0.00345438,7178.137,0.2,1.0
0.01003,0.0001,0.820668,0.07085,0.92915,0.9992,2.24736,0.00822904,0.000137118,0.00179821,7278.137,0.2,1.0
0.006233,0.0001,0.857688,0.0637244,0.936276,0.998904,0.809615,0.00534595,6.03726e-05,0.00088703,7378.137,0.2,1.0
0.004549,0.0001,0.923508,0.092165,0.907835,0.999147,0.407975,0.00420067,3.53225e-05,0.000347931,7478.137,0.2,1.0
0.005091,0.0001,0.942698,0.0895318,0.910468,0.999224,0.376106,0.00479946,2.86881e-05,0.000291736,7578.137,0.2,1.0
0.000138,0.0001,0.938115,0.938115,0.0618853,0.999559,0.0193692,0.000129483,0.000129483,8.54169e-06,6578.137,0.18,1.0
0.0004822,0.0001,0.944019,0.899388,0.100612,0.999404,0.0453184,0.000455191,0.000241296,2.6993e-05,6678.137,0.18,1.0
0.0008527,0.0001,0.694387,0.465896,0.534104,0.999466,0.487797,0.000592128,0.000227326,0.000260607,6778.137,0.18,1.0
0.002415,0.0001,0.68651,0.221759,0.778241,0.999213,0.96206,0.00165826,0.000215772,0.000757231,6878.137,0.18,1.0
0.004625,0.0001,0.682967,0.109212,0.890788,0.998905,1.33903,0.0031586,0.000179761,0.00146622,6978.137,0.18,1.0
0.008832,0.0001,0.694839,0.0635069,0.936493,0.99886,2.364,0.00613652,0.000182761,0.00269505,7078.137,0.18,1.0
0.01339,0.0001,0.71335,0.0533302,0.94667,0.998984,3.77939,0.00955129,0.000216214,0.00383805,7178.137,0.18,1.0
0.01003,0.0001,0.797593,0.0728344,0.927166,0.999202,2.54177,0.00799766,0.000159436,0.00202959,7278.137,0.18,1.0
0.006233,0.0001,0.843286,0.0663487,0.933651,0.998959,0.938262,0.00525618,6.94148e-05,0.000976796,7378.137,0.18,1.0
0.004549,0.0001,0.913447,0.0941142,0.905886,0.999166,0.47178,0.00415491,4.09018e-05,0.000393696,7478.137,0.18,1.0
0.005091,0.0001,0.934769,0.0929136,0.907086,0.999252,0.443845,0.00475909,3.40178e-05,0.000332105,7578.137,0.18,1.0
0.000138,0.0001,0.938115,0.938115,0.0618853,0.999559,0.0193692,0.000129483,0.000129483,8.54169e-06,6578.137,0.16,1.0
0.0004822,0.0001,0.938954,0.897161,0.102839,0.999394,0.0485404,0.000452748,0.000256793,2.94356e-05,6678.137,0.16,1.0
0.0008527,0.0001,0.68083,0.474078,0.525922,0.999458,0.502258,0.000580567,0.000245338,0.000272167,6778.137,0.16,1.0
0.002415,0.0001,0.66812,0.222524,0.777476,0.999216,1.02261,0.00161384,0.000229444,0.000801654,6878.137,0.16,1.0
0.004625,0.0001,0.66984,0.11098,0.88902,0.998914,1.40604,0.00309789,0.000190612,0.00152693,6978.137,0.16,1.0
0.008832,0.0001,0.681457,0.0643363,0.935664,0.998864,2.47563,0.00601834,0.000193438,0.00281323,7078.137,0.16,1.0
0.01339,0.0001,0.683046,0.0542074,0.945793,0.998992,4.21098,0.00914553,0.00024323,0.0042438,7178.137,0.16,1.0
0.01003,0.0001,0.763927,0.0736805,0.92632,0.999192,2.9303,0.00766009,0.000188287,0.00236716,7278.137,0.16,1.0
0.006233,0.0001,0.81946,0.0705786,0.929421,0.999004,1.12994,0.00510768,8.54535e-05,0.0011253,7378.137,0.16,1.0
0.004549,0.0001,0.897983,0.0958228,0.904177,0.999183,0.568224,0.00408457,4.91777e-05,0.000464037,7478.137,0.16,1.0
0.005091,0.0001,0.926288,0.0956911,0.904309,0.999274,0.51664,0.00471591,3.9711e-05,0.000375281,7578.137,0.16,1.0
0.000138,0.0001,0.938115,0.938115,0.0618853,0.999559,0.0193692,0.000129483,0.000129483,8.54169e-06,6578.137,0.14,1.0
0.0004822,0.0001,0.923386,0.887839,0.112161,0.999338,0.055763,0.000445242,0.000292424,3.6942e-05,6678.137,0.14,1.0
0.0008527,0.0001,0.666091,0.481975,0.518025,0.99945,0.517981,0.000567999,0.000264921,0.000284736,6778.137,0.14,1.0
0.002415,0.0001,0.648125,0.223263,0.776737,0.999219,1.08844,0.00156554,0.000244308,0.000849951,6878.137,0.14,1.0
0.004625,0.0001,0.640705,0.113479,0.886521,0.998934,1.55926,0.00296314,0.000212702,0.00166168,6978.137,0.14,1.0
0.008832,0.0001,0.666908,0.065161,0.934839,0.998867,2.59699,0.00588984,0.000205047,0.00294173,7078.137,0.14,1.0
0.01339,0.0001,0.660535,0.0548242,0.945176,0.998998,4.53444,0.00884412,0.000263642,0.00454521,7178.137,0.14,1.0
0.01003,0.0001,0.72693,0.0741181,0.925882,0.999182,3.34844,0.00728911,0.000219192,0.00273814,7278.137,0.14,1.0
0.006233,0.0001,0.793573,0.0742945,0.925705,0.999038,1.3375,0.00494632,0.000103263,0.00128666,7378.137,0.14,1.0
0.004549,0.0001,0.877771,0.0983506,0.901649,0.999208,0.70158,0.00399263,6.06445e-05,0.000555971,7478.137,0.14,1.0
0.005091,0.0001,0.911132,0.0971228,0.902877,0.999282,0.629793,0.00463875,4.86697e-05,0.000452445,7578.137,0.14,1.0
0.000138,0.0001,0.938115,0.938115,0.0618853,0.999559,0.0193692,0.000129483,0.000129483,8.54169e-06,6578.137,0.12,1.0
0.0004822,0.0001,0.906255,0.880048,0.119952,0.999291,0.0637106,0.000436982,0.000331632,4.52021e-05,6678.137,0.12,1.0
0.0008527,0.0001,0.649872,0.489661,0.510339,0.999442,0.535283,0.000554168,0.000286469,0.000298566,6778.137,0.12,1.0
0.002415,0.0001,0.626123,0.223984,0.776016,0.999222,1.16089,0.00151239,0.000260664,0.000903097,6878.137,0.12,1.0
0.004625,0.0001,0.608644,0.115786,0.884214,0.998952,1.72786,0.00281487,0.00023701,0.00180995,6978.137,0.12,1.0
0.008832,0.0001,0.650467,0.0660184,0.933982,0.998871,2.73483,0.00574464,0.000218199,0.00308693,7078.137,0.12,1.0
0.01339,0.0001,0.635763,0.0554141,0.944586,0.999003,4.89039,0.00851245,0.000286102,0.00487689,7178.137,0.12,1.0
0.01003,0.0001,0.696501,0.076562,0.923438,0.999187,3.74298,0.00698399,0.000252316,0.00304326,7278.137,0.12,1.0
0.006233,0.0001,0.754625,0.0800246,0.919975,0.999074,1.6522,0.00470356,0.000133037,0.00152942,7378.137,0.12,1.0
0.004549,0.0001,0.849916,0.101654,0.898346,0.999237,0.894369,0.00386593,7.72492e-05,0.000682672,7478.137,0.12,1.0
0.005091,0.0001,0.892435,0.0991025,0.900897,0.999289,0.769998,0.00454356,6.02423e-05,0.000547637,7578.137,0.12,1.0
0.000138,0.0001,0.938115,0.938115,0.0618853,0.999559,0.0193692,0.000129483,0.000129483,8.54169e-06,6578.137,0.1,1.0
0.0004822,0.0001,0.887098,0.873372,0.126628,0.99925,0.0725985,0.000427745,0.000375477,5.44393e-05,6678.137,0.1,1.0
0.0008527,0.0001,0.631734,0.497226,0.502774,0.999434,0.554631,0.000538702,0.000310567,0.000314033,6778.137,0.1,1.0
0.002415,0.0001,0.591997,0.23548,0.76452,0.99924,1.29679,0.00142996,0.000303553,0.000985528,6878.137,0.1,1.0
0.004625,0.0001,0.57279,0.117946,0.882054,0.998969,1.91641,0.00264905,0.000264194,0.00197577,6978.137,0.1,1.0
0.008832,0.0001,0.615219,0.0679393,0.932061,0.998888,3.05644,0.00543335,0.000247701,0.00339822,7078.137,0.1,1.0
0.01339,0.0001,0.608062,0.0559847,0.944015,0.999008,5.28844,0.00814154,0.00031122,0.00524779,7178.137,0.1,1.0
0.01003,0.0001,0.670787,0.0783551,0.921645,0.999191,4.07861,0.00672615,0.000280648,0.0033011,7278.137,0.1,1.0
0.006233,0.0001,0.720695,0.0842173,0.915783,0.999089,1.91038,0.00449208,0.000160097,0.0017409,7378.137,0.1,1.0
0.004549,0.0001,0.808758,0.105336,0.894664,0.999235,1.13744,0.00367872,0.000102419,0.000869886,7478.137,0.1,1.0
0.005091,0.0001,0.866016,0.103834,0.896166,0.999303,0.978931,0.00440905,7.90364e-05,0.000682141,7578.137,0.1,1.0
