annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.01744,1e-06,0.000533273,0.000533273,0.999467,0.999473,33.0573,9.29859e-06,9.29859e-06,0.0174275,0.26,1.0
0.01744,1e-05,0.00469249,0.00469249,0.995308,0.998114,9.19981,8.18222e-05,8.18222e-05,0.017355,0.26,1.0
0.01744,0.0001,0.0156656,0.0156656,0.984334,0.995898,4.18385,0.000273159,0.000273159,0.0171637,0.26,1.0
0.01744,0.001,0.0621315,0.0621315,0.937869,0.989464,1.5522,0.00108338,0.00108338,0.0163535,0.26,1.0
0.01744,0.01,0.316541,0.316541,0.683459,0.967102,0.362256,0.00551947,0.00551947,0.0119174,0.26,1.0
0.01744,0.1,0.794489,0.794489,0.205511,0.850876,0.02403,0.0138534,0.0138534,0.00358346,0.26,1.0
