annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.01744,1e-06,0.308832,0.000402224,0.999598,0.999436,21.3633,0.00538505,4.84946e-06,0.0120518,0.32,1.0
0.01744,1e-05,0.31153,0.00430426,0.995696,0.99798,5.94352,0.0054321,5.18949e-05,0.0120047,0.32,1.0
0.01744,0.0001,0.31846,0.014327,0.985673,0.995669,2.74377,0.00555294,0.000172736,0.0118839,0.32,1.0
0.01744,0.001,0.349021,0.0585251,0.941475,0.989262,1.05711,0.00608582,0.000705616,0.011351,0.32,1.0
0.01744,0.01,0.522566,0.309514,0.690486,0.965928,0.244334,0.0091119,0.0037317,0.00832494,0.32,1.0
0.01744,0.1,0.846776,0.7784,0.2216,0.843492,0.017071,0.0147651,0.00938489,0.00267175,0.32,1.0
