annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.07463,1e-06,0.730179,0.000629434,0.999371,0.99951,41.103,0.0544941,1.26829e-05,0.020137,0.26,1.0
0.07463,1e-05,0.731391,0.00511599,0.994884,0.998196,11.1107,0.0545845,0.000103086,0.0200466,0.26,1.0
0.07463,0.0001,0.734525,0.0167244,0.983276,0.996038,5.00054,0.0548184,0.000336991,0.0198127,0.26,1.0
0.07463,0.001,0.747646,0.0653215,0.934679,0.989597,1.81031,0.0557976,0.00131621,0.0188335,0.26,1.0
0.07463,0.01,0.816805,0.321476,0.678524,0.967369,0.418995,0.0609591,0.00647765,0.0136721,0.26,1.0
0.07463,0.1,0.94696,0.803547,0.196453,0.853343,0.0269913,0.0706727,0.0161912,0.00395847,0.26,1.0
