annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor,particle_size_min,particle_size_max
0.0005387,6e-08,0.620767,0.000507005,0.999493,0.999984,13.0357,0.000334389,1.03624e-07,0.000204282,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,4.6e-07,0.622049,0.00388594,0.996114,0.999979,9.51978,0.000335079,7.94228e-07,0.000203591,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,3.6e-06,0.632112,0.0304074,0.969593,0.999967,5.96807,0.0003405,6.21483e-06,0.00019817,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,2.8e-05,0.710318,0.236524,0.763476,0.999936,2.42665,0.000382627,4.8342e-05,0.000156043,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,0.00022,0.993774,0.983591,0.0164089,0.999711,0.0116199,0.000535316,0.000201031,3.35374e-06,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,0.0017,0.999971,0.999923,7.74544e-05,0.998163,8.61554e-06,0.000538654,0.000204369,1.58305e-08,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,0.013,1.0,1.0,0.0,0.0,0.0,0.00053867,0.000204385,0.0,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,0.1,1.0,1.0,0.0,0.0,0.0,0.00053867,0.000204385,0.0,6878.137,0.0,0.26,1.0,0.01,100.0
0.00127,1e-09,0.644809,1.12134e-05,0.999989,0.999992,57.4713,0.000818743,5.05734e-09,0.000451003,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,7.7e-09,0.644835,8.63798e-05,0.999914,0.99999,47.1461,0.000818777,3.8958e-08,0.000450969,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,6e-08,0.645044,0.000672632,0.999327,0.999988,36.7662,0.000819041,3.03362e-07,0.000450704,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,4.6e-07,0.646637,0.00515854,0.994841,0.999983,26.4634,0.000821064,2.32654e-06,0.000448681,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,3.6e-06,0.659142,0.0403656,0.959634,0.999973,16.0588,0.000836943,1.82052e-05,0.000432802,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,2.8e-05,0.756326,0.313972,0.686028,0.999946,5.68463,0.000960342,0.000141604,0.000309404,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,0.00022,0.996126,0.989094,0.0109058,0.999731,0.0182549,0.00126483,0.000446089,4.9186e-06,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,0.0017,1.0,1.0,0.0,0.0,0.0,0.00126975,0.000451008,0.0,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,0.013,1.0,1.0,0.0,0.0,0.0,0.00126975,0.000451008,0.0,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,0.1,1.0,1.0,0.0,0.0,0.0,0.00126975,0.000451008,0.0,6978.137,0.0,0.26,1.0,0.01,100.0
0.002015,1e-09,0.732817,1.18709e-05,0.999988,0.999993,72.3793,0.00147665,6.39117e-09,0.000538383,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,7.7e-09,0.732838,9.14265e-05,0.999909,0.999991,59.3319,0.0014767,4.92231e-08,0.000538341,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,6e-08,0.733004,0.000712284,0.999288,0.999988,46.2108,0.00147703,3.83486e-07,0.000538006,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,4.6e-07,0.734273,0.00546053,0.994539,0.999984,33.1929,0.00147959,2.93989e-06,0.00053545,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,3.6e-06,0.744233,0.0427377,0.957262,0.999974,20.0426,0.00149966,2.30095e-05,0.00051538,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,2.8e-05,0.821612,0.332344,0.667656,0.999948,6.93338,0.00165558,0.000178931,0.000359459,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,0.00022,0.998594,0.994738,0.00526244,0.999731,0.0105132,0.0020122,0.000535557,2.83324e-06,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,0.0017,1.0,1.0,0.0,0.0,0.0,0.00201504,0.00053839,0.0,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,0.013,1.0,1.0,0.0,0.0,0.0,0.00201504,0.00053839,0.0,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,0.1,1.0,1.0,0.0,0.0,0.0,0.00201504,0.00053839,0.0,7078.137,0.0,0.26,1.0,0.01,100.0
0.003743,1e-09,0.802598,1.16887e-05,0.999988,0.999992,97.9825,0.00300418,8.63679e-09,0.000738892,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,7.7e-09,0.802613,8.99969e-05,0.99991,0.999991,80.3495,0.00300424,6.64988e-08,0.000738835,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,6e-08,0.802734,0.000701619,0.999298,0.999988,62.6088,0.00300469,5.18427e-07,0.000738383,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,4.6e-07,0.803657,0.00537848,0.994622,0.999984,45.0136,0.00300815,3.97417e-06,0.000734927,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,3.6e-06,0.810904,0.0420893,0.957911,0.999974,27.2403,0.00303528,3.10998e-05,0.000707801,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,2.8e-05,0.867218,0.32736,0.67264,0.999948,9.51989,0.00324606,0.000241887,0.000497014,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,0.00022,0.999279,0.996346,0.00365397,0.999721,0.00968575,0.00374038,0.000736201,2.69992e-06,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,0.0017,1.0,1.0,1.65854e-07,0.998285,7.14644e-08,0.00374308,0.000738901,1.22549e-10,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,0.013,1.0,1.0,0.0,0.0,0.0,0.00374308,0.000738901,0.0,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,0.1,1.0,1.0,0.0,0.0,0.0,0.00374308,0.000738901,0.0,7178.137,0.0,0.26,1.0,0.01,100.0
0.002643,1e-09,0.864176,1.17565e-05,0.999988,0.999992,47.8286,0.00228414,4.22065e-09,0.000359002,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,7.7e-09,0.864187,9.04885e-05,0.99991,0.999991,39.2157,0.00228417,3.24859e-08,0.000358974,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,6e-08,0.86427,0.00070544,0.999295,0.999988,30.5488,0.00228439,2.53258e-07,0.000358753,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,4.6e-07,0.864909,0.0054063,0.994594,0.999984,21.9542,0.00228607,1.9409e-06,0.000357065,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,3.6e-06,0.869922,0.0423187,0.957681,0.999974,13.2702,0.00229933,1.51927e-05,0.000343814,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,2.8e-05,0.908884,0.329166,0.670834,0.999948,4.6129,0.00240231,0.000118173,0.000240833,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,0.00022,0.999132,0.99361,0.00639009,0.999649,0.00652847,0.00264085,0.000356712,2.29408e-06,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,0.0017,0.999991,0.999931,6.88078e-05,0.998095,1.29692e-05,0.00264311,0.000358982,2.47024e-08,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,0.013,1.0,1.0,0.0,0.0,0.0,0.00264314,0.000359006,0.0,7278.137,0.0,0.26,1.0,0.01,100.0
