annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor,particle_size_min,particle_size_max
0.0005387,6e-08,0.620616,0.00010818,0.999892,0.999938,3.29535,0.000334307,2.21104e-08,0.000204363,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,4.6e-07,0.620889,0.000829453,0.999171,0.99992,2.54469,0.000334455,1.69528e-07,0.000204216,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,3.6e-06,0.623037,0.00649099,0.993509,0.999886,1.78649,0.000335612,1.32666e-06,0.000203058,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,2.8e-05,0.63973,0.0504845,0.949515,0.999812,1.03057,0.000344603,1.03183e-05,0.000194067,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,0.00022,0.76274,0.374685,0.625315,0.999568,0.295625,0.000410865,7.65801e-05,0.000127805,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,0.0017,0.995573,0.988333,0.0116667,0.997813,0.00109022,0.000536286,0.000202001,2.3845e-06,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,0.013,1.0,1.0,0.0,0.0,0.0,0.00053867,0.000204385,0.0,6878.137,0.0,0.26,1.0,0.01,100.0
0.0005387,0.1,1.0,1.0,0.0,0.0,0.0,0.00053867,0.000204385,0.0,6878.137,0.0,0.26,1.0,0.01,100.0
0.00127,1e-09,0.644805,6.2334e-07,0.999999,0.999885,3.93878,0.000818738,2.81131e-10,0.000451007,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,7.7e-09,0.644806,4.79996e-06,0.999995,0.999866,3.36494,0.00081874,2.16482e-09,0.000451006,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,6e-08,0.644818,3.74029e-05,0.999963,0.999838,2.78776,0.000818755,1.6869e-08,0.000450991,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,4.6e-07,0.644906,0.000286684,0.999713,0.999796,2.21522,0.000818867,1.29297e-07,0.000450878,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,3.6e-06,0.645601,0.00224311,0.997757,0.999725,1.63689,0.000819749,1.01166e-06,0.000449996,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,2.8e-05,0.651011,0.0174739,0.982526,0.999582,1.0598,0.000826619,7.88088e-06,0.000443127,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,0.00022,0.692608,0.134584,0.865416,0.999198,0.486462,0.000879436,6.06984e-05,0.000390309,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,0.0017,0.923115,0.783541,0.216459,0.997741,0.0432088,0.00117212,0.000353383,9.76246e-05,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,0.013,1.0,1.0,0.0,0.0,0.0,0.00126975,0.000451008,0.0,6978.137,0.0,0.26,1.0,0.01,100.0
0.00127,0.1,1.0,1.0,0.0,0.0,0.0,0.00126975,0.000451008,0.0,6978.137,0.0,0.26,1.0,0.01,100.0
0.002015,1e-09,0.732814,5.42332e-07,0.999999,0.999871,4.1676,0.00147665,2.91986e-10,0.00053839,7078.137,0.0,0.26,1.0,0.01,100.0
