annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,inc,d_ref,scaling_factor
0.0001296,1e-05,0.430114,0.00972348,0.990277,0.999774,0.327091,5.57329e-05,7.25073e-07,7.38442e-05,0.0,0.26,1.0
0.0001296,2.2e-05,0.436816,0.0213694,0.978631,0.99973,0.270018,5.66013e-05,1.5935e-06,7.29757e-05,0.0,0.26,1.0
0.0001296,4.6e-05,0.450246,0.0447073,0.955293,0.999671,0.216516,5.83416e-05,3.33379e-06,7.12355e-05,0.0,0.26,1.0
0.0001296,0.0001,0.48049,0.0972614,0.902739,0.99958,0.16018,6.22605e-05,7.25271e-06,6.73165e-05,0.0,0.26,1.0
0.0001296,0.00022,0.547568,0.213821,0.786179,0.999431,0.103084,7.09523e-05,1.59445e-05,5.86247e-05,0.0,0.26,1.0
0.0001296,0.00046,0.681894,0.447235,0.552765,0.999169,0.0495985,8.83578e-05,3.335e-05,4.12193e-05,0.0,0.26,1.0
0.0001296,0.001,0.881633,0.794317,0.205683,0.99825,0.00876494,0.000114239,5.92316e-05,1.53377e-05,0.0,0.26,1.0
0.0001296,0.0022,0.957135,0.925515,0.0744851,0.997296,0.00205444,0.000124023,6.9015e-05,5.5543e-06,0.0,0.26,1.0
0.0001296,0.0046,0.997987,0.996502,0.00349845,0.994773,4.99074e-05,0.000129316,7.43084e-05,2.60877e-07,0.0,0.26,1.0
0.0001296,0.01,0.999998,0.999997,3.2302e-06,0.987069,1.86279e-08,0.000129577,7.4569e-05,2.40874e-10,0.0,0.26,1.0
0.000323,1e-05,0.421215,0.0102483,0.989752,0.999785,0.868617,0.000136051,1.9357e-06,0.000186945,15.0,0.26,1.0
0.000323,2.2e-05,0.428389,0.0225149,0.977485,0.999742,0.716396,0.000138368,4.25263e-06,0.000184628,15.0,0.26,1.0
0.000323,4.6e-05,0.442767,0.0471034,0.952897,0.999686,0.573634,0.000143012,8.89693e-06,0.000179984,15.0,0.26,1.0
0.000323,0.0001,0.475133,0.10245,0.89755,0.9996,0.423355,0.000153466,1.93509e-05,0.00016953,15.0,0.26,1.0
0.000323,0.00022,0.546934,0.225234,0.774766,0.99946,0.271001,0.000176658,4.25424e-05,0.000146339,15.0,0.26,1.0
0.000323,0.00046,0.690749,0.471165,0.528835,0.999221,0.128258,0.000223109,8.89942e-05,9.98869e-05,15.0,0.26,1.0
0.000323,0.001,0.908771,0.843994,0.156006,0.998272,0.0170561,0.00029353,0.000159414,2.94666e-05,15.0,0.26,1.0
0.000323,0.0022,0.970444,0.949458,0.0505423,0.997319,0.00356089,0.00031345,0.000179335,9.54649e-06,15.0,0.26,1.0
0.000323,0.0046,0.998518,0.997465,0.00253472,0.994718,9.06351e-05,0.000322518,0.000188402,4.7876e-07,15.0,0.26,1.0
0.000323,0.01,0.999948,0.999912,8.82199e-05,0.988087,1.3987e-06,0.00032298,0.000188864,1.66631e-08,15.0,0.26,1.0
0.0002848,1e-05,0.452578,0.00963833,0.990362,0.999773,0.687265,0.000128916,1.51755e-06,0.000155932,30.0,0.26,1.0
0.0002848,2.2e-05,0.458959,0.0211824,0.978818,0.999729,0.567794,0.000130733,3.33516e-06,0.000154114,30.0,0.26,1.0
0.0002848,4.6e-05,0.471761,0.0443431,0.955657,0.99967,0.455704,0.00013438,6.98179e-06,0.000150468,30.0,0.26,1.0
0.0002848,0.0001,0.50054,0.0964086,0.903591,0.999579,0.33787,0.000142578,1.51795e-05,0.00014227,30.0,0.26,1.0
0.0002848,0.00022,0.564455,0.212039,0.787961,0.999432,0.218285,0.000160783,3.33855e-05,0.000124064,30.0,0.26,1.0
0.0002848,0.00046,0.692354,0.443427,0.556573,0.999176,0.106349,0.000197215,6.98174e-05,8.76321e-05,30.0,0.26,1.0
0.0002848,0.001,0.890123,0.801217,0.198783,0.998267,0.018057,0.000253549,0.000126151,3.12982e-05,30.0,0.26,1.0
0.0002848,0.0022,0.964556,0.935877,0.0641228,0.997315,0.00376079,0.000274751,0.000147353,1.00961e-05,30.0,0.26,1.0
0.0002848,0.0046,0.998318,0.996958,0.00304244,0.994715,9.06473e-05,0.000284368,0.00015697,4.79031e-07,30.0,0.26,1.0
0.0002848,0.01,0.999956,0.99992,8.03486e-05,0.988036,1.05739e-06,0.000284835,0.000157437,1.26508e-08,30.0,0.26,1.0
0.0003083,1e-05,0.462886,0.00879698,0.991203,0.999756,0.677808,0.000142698,1.46954e-06,0.000165581,45.0,0.26,1.0
0.0003083,2.2e-05,0.468598,0.0193376,0.980662,0.999709,0.562099,0.000144459,3.23035e-06,0.00016382,45.0,0.26,1.0
0.0003083,4.6e-05,0.480038,0.0404504,0.95955,0.999647,0.453679,0.000147986,6.75725e-06,0.000160293,45.0,0.26,1.0
0.0003083,0.0001,0.505781,0.087957,0.912043,0.999551,0.339567,0.000155922,1.46933e-05,0.000152357,45.0,0.26,1.0
0.0003083,0.00022,0.562965,0.193486,0.806514,0.999398,0.223753,0.00017355,3.23218e-05,0.000134729,45.0,0.26,1.0
0.0003083,0.00046,0.677339,0.404553,0.595447,0.999138,0.115398,0.000208809,6.75808e-05,9.94696e-05,45.0,0.26,1.0
0.0003083,0.001,0.87584,0.770872,0.229128,0.998256,0.0219466,0.000270003,0.000128774,3.82759e-05,45.0,0.26,1.0
0.0003083,0.0022,0.956959,0.920572,0.0794283,0.997255,0.00483311,0.00029501,0.000153782,1.32685e-05,45.0,0.26,1.0
0.0003083,0.0046,0.997683,0.995725,0.00427537,0.994578,0.000131734,0.000307565,0.000166336,7.14202e-07,45.0,0.26,1.0
0.0003083,0.01,0.999946,0.999901,9.94046e-05,0.987277,1.30519e-06,0.000308262,0.000167034,1.66056e-08,45.0,0.26,1.0
0.0003203,1e-05,0.453452,0.00839274,0.991607,0.999746,0.689658,0.000145224,1.48149e-06,0.000175039,60.0,0.26,1.0
0.0003203,2.2e-05,0.458994,0.018448,0.981552,0.999698,0.57302,0.000146999,3.25645e-06,0.000173264,60.0,0.26,1.0
0.0003203,4.6e-05,0.470099,0.0385966,0.961403,0.999634,0.463696,0.000150555,6.8131e-06,0.000169708,60.0,0.26,1.0
0.0003203,0.0001,0.49508,0.0839203,0.91608,0.999536,0.348671,0.000158556,1.48137e-05,0.000161707,60.0,0.26,1.0
0.0003203,0.00022,0.550577,0.184609,0.815391,0.999379,0.231917,0.00017633,3.25873e-05,0.000143933,60.0,0.26,1.0
0.0003203,0.00046,0.661575,0.385992,0.614008,0.999117,0.122686,0.000211878,6.81356e-05,0.000108385,60.0,0.26,1.0
0.0003203,0.001,0.863708,0.752724,0.247276,0.998245,0.024867,0.000276614,0.000132871,4.36494e-05,60.0,0.26,1.0
0.0003203,0.0022,0.948811,0.907127,0.0928728,0.997153,0.00575766,0.000303869,0.000160127,1.6394e-05,60.0,0.26,1.0
0.0003203,0.0046,0.997004,0.994565,0.00543504,0.994398,0.000171265,0.000319304,0.000175561,9.59397e-07,60.0,0.26,1.0
0.0003203,0.01,0.999935,0.999882,0.000117571,0.986721,1.56292e-06,0.000320242,0.0001765,2.07537e-08,60.0,0.26,1.0
0.0003445,1e-05,0.442416,0.00790702,0.992093,0.999734,0.720822,0.000152414,1.53096e-06,0.000192089,75.0,0.26,1.0
0.0003445,2.2e-05,0.447743,0.0173847,0.982615,0.999683,0.60023,0.000154249,3.36602e-06,0.000190254,75.0,0.26,1.0
0.0003445,4.6e-05,0.458413,0.0363698,0.96363,0.999617,0.487246,0.000157924,7.04191e-06,0.000186578,75.0,0.26,1.0
0.0003445,0.0001,0.48241,0.0790664,0.920934,0.999516,0.368383,0.000166191,1.53088e-05,0.000178311,75.0,0.26,1.0
0.0003445,0.00022,0.53573,0.173938,0.826062,0.999354,0.247704,0.00018456,3.36778e-05,0.000159942,75.0,0.26,1.0
0.0003445,0.00046,0.642385,0.363705,0.636295,0.999086,0.134796,0.000221303,7.04206e-05,0.000123199,75.0,0.26,1.0
0.0003445,0.001,0.845934,0.725875,0.274125,0.998233,0.0300395,0.000291427,0.000140544,5.3076e-05,75.0,0.26,1.0
0.0003445,0.0022,0.939633,0.89259,0.10741,0.99709,0.00714768,0.000323706,0.000172823,2.07967e-05,75.0,0.26,1.0
0.0003445,0.0046,0.996308,0.993431,0.00656868,0.994344,0.000224861,0.000343231,0.000192348,1.27183e-06,75.0,0.26,1.0
0.0003445,0.01,0.999929,0.999874,0.000126436,0.986255,1.78108e-06,0.000344478,0.000193596,2.44806e-08,75.0,0.26,1.0
0.0003918,1e-05,0.437564,0.00726497,0.992735,0.999714,0.771572,0.00017145,1.61275e-06,0.000220378,90.0,0.26,1.0
0.0003918,2.2e-05,0.442498,0.0159725,0.984027,0.999661,0.644535,0.000173383,3.54575e-06,0.000218445,90.0,0.26,1.0
0.0003918,4.6e-05,0.452378,0.0334119,0.966588,0.999592,0.525522,0.000177254,7.41713e-06,0.000214573,90.0,0.26,1.0
0.0003918,0.0001,0.474601,0.0726369,0.927363,0.999486,0.400299,0.000185962,1.61247e-05,0.000205866,90.0,0.26,1.0
0.0003918,0.00022,0.524016,0.159857,0.840143,0.999317,0.2731,0.000205324,3.54866e-05,0.000186504,90.0,0.26,1.0
0.0003918,0.00046,0.622749,0.334128,0.665872,0.999041,0.154216,0.00024401,7.41732e-05,0.000147817,90.0,0.26,1.0
0.0003918,0.001,0.821864,0.685579,0.314421,0.998214,0.0390764,0.000322029,0.000152192,6.97986e-05,90.0,0.26,1.0
0.0003918,0.0022,0.926588,0.870424,0.129576,0.996917,0.00933039,0.000363063,0.000193226,2.87647e-05,90.0,0.26,1.0
0.0003918,0.0046,0.991572,0.985124,0.0148762,0.99436,0.000585523,0.000388525,0.000218688,3.30238e-06,90.0,0.26,1.0
0.0003918,0.01,0.999749,0.999557,0.000443311,0.98816,8.31206e-06,0.000391729,0.000221892,9.84108e-08,90.0,0.26,1.0
0.0004695,1e-05,0.434125,0.00657298,0.993427,0.99969,0.856415,0.00020382,1.75784e-06,0.000265676,105.0,0.26,1.0
0.0004695,2.2e-05,0.438611,0.0144481,0.985552,0.999633,0.71803,0.000205926,3.86391e-06,0.00026357,105.0,0.26,1.0
