annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.04612,1e-06,0.808251,0.000695652,0.999304,0.999528,18.7384,0.0372798,6.1568e-06,0.00884425,0.26,1.0
0.04612,1e-05,0.808874,0.00394266,0.996057,0.998886,7.91347,0.0373085,3.48942e-05,0.00881552,0.26,1.0
0.04612,0.0001,0.812177,0.021159,0.978841,0.997584,3.58563,0.0374609,0.000187265,0.00866314,0.26,1.0
0.04612,0.001,0.828958,0.108614,0.891386,0.994495,1.43318,0.0382349,0.000961279,0.00788913,0.26,1.0
0.04612,0.01,0.907949,0.520274,0.479726,0.971417,0.148542,0.0418783,0.00460464,0.00424577,0.26,1.0
0.04612,0.1,0.988204,0.938526,0.0614737,0.803457,0.00276819,0.04558,0.00830634,0.000544068,0.26,1.0
