annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.04612,1e-06,0.861529,0.000355361,0.999645,0.999483,12.3577,0.0397372,2.27044e-06,0.00638684,0.32,1.0
0.04612,1e-05,0.861941,0.00332896,0.996671,0.998781,5.2251,0.0397562,2.12691e-05,0.00636784,0.32,1.0
0.04612,0.0001,0.864067,0.0186757,0.981324,0.997429,2.4385,0.0398542,0.000119321,0.00626979,0.32,1.0
0.04612,0.001,0.875477,0.101051,0.898949,0.99419,0.988604,0.0403806,0.000645627,0.00574349,0.32,1.0
0.04612,0.01,0.929615,0.49188,0.50812,0.969654,0.106981,0.0428776,0.00314268,0.00324643,0.32,1.0
0.04612,0.1,0.98821,0.914887,0.0851131,0.803373,0.00276564,0.0455802,0.00584532,0.000543798,0.32,1.0
