annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.007627,1e-06,0.16258,0.000355361,0.999645,0.999483,12.3577,0.00123997,2.27044e-06,0.00638684,0.32,1.0
0.007627,1e-05,0.165071,0.00332896,0.996671,0.998781,5.2251,0.00125897,2.12691e-05,0.00636784,0.32,1.0
0.007627,0.0001,0.177928,0.0186757,0.981324,0.997429,2.4385,0.00135702,0.000119321,0.00626979,0.32,1.0
0.007627,0.001,0.246935,0.101051,0.898949,0.99419,0.988604,0.00188333,0.000645627,0.00574349,0.32,1.0
0.007627,0.01,0.574339,0.49188,0.50812,0.969654,0.106981,0.00438038,0.00314268,0.00324643,0.32,1.0
0.007627,0.1,0.928699,0.914887,0.0851131,0.803373,0.00276564,0.00708302,0.00584532,0.000543798,0.32,1.0
