annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.003234,1e-06,0.598427,0.146656,0.853344,0.999996,315.345,0.00193548,0.000223213,0.0012988,0.26,1.0
0.003234,1e-05,0.813782,0.604288,0.395712,0.999923,7.79076,0.002632,0.000919733,0.000602279,0.26,1.0
0.003234,0.0001,0.878819,0.74249,0.25751,0.999694,1.28243,0.00284234,0.00113008,0.000391933,0.26,1.0
0.003234,0.001,0.946109,0.885481,0.114519,0.994253,0.03033,0.00305998,0.00134771,0.000174299,0.26,1.0
0.003234,0.01,0.97652,0.950105,0.0498948,0.97779,0.00341923,0.00315833,0.00144607,7.59404e-05,0.26,1.0
0.003234,0.1,0.999997,0.999993,6.96978e-06,0.89727,1.03261e-07,0.00323426,0.001522,1.06081e-08,0.26,1.0
