annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
9.699e-05,0.0001,0.632783,0.558555,0.441445,0.999861,0.256771,6.13759e-05,4.50666e-05,3.56177e-05,6578.137,0.26,1.0,0.01,0.33
0.000312,0.0001,0.783861,0.525737,0.474263,0.999847,0.441841,0.000244603,7.4766e-05,6.74459e-05,6678.137,0.26,1.0,0.01,0.33
0.0007394,0.0001,0.741993,0.182977,0.817023,0.999595,0.471378,0.000548667,4.27269e-05,0.000190783,6778.137,0.26,1.0,0.01,0.33
0.001795,0.0001,0.708886,0.070326,0.929674,0.999273,0.718864,0.00127237,3.95261e-05,0.000522515,6878.137,0.26,1.0,0.01,0.33
0.0043,0.0001,0.740263,0.0209548,0.979045,0.99792,0.536968,0.00318337,2.39065e-05,0.00111696,6978.137,0.26,1.0,0.01,0.33
0.007614,0.0001,0.756366,0.0104472,0.989553,0.997018,0.622074,0.00575905,1.95848e-05,0.00185505,7078.137,0.26,1.0,0.01,0.33
0.01303,0.0001,0.815076,0.0201534,0.979847,0.99802,1.21706,0.0106228,4.95706e-05,0.00241009,7178.137,0.26,1.0,0.01,0.33
