annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7578.137,0.26,1.0,0.03548,0.04467
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7678.137,0.26,1.0,0.03548,0.04467
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6578.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6678.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6778.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6878.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6978.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7078.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7178.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7278.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7378.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7478.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7578.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7678.137,0.26,1.0,0.04467,0.05623
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6578.137,0.26,1.0,0.05623,0.07079
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6678.137,0.26,1.0,0.05623,0.07079
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6778.137,0.26,1.0,0.05623,0.07079
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6878.137,0.26,1.0,0.05623,0.07079
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,6978.137,0.26,1.0,0.05623,0.07079
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7078.137,0.26,1.0,0.05623,0.07079
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7178.137,0.26,1.0,0.05623,0.07079
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7278.137,0.26,1.0,0.05623,0.07079
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7378.137,0.26,1.0,0.05623,0.07079
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7478.137,0.26,1.0,0.05623,0.07079
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7578.137,0.26,1.0,0.05623,0.07079
0.0,0.0001,,,,0.0,0.0,0.0,0.0,0.0,7678.137,0.26,1.0,0.05623,0.07079
8.287e-08,0.0001,0.97595,0.97595,0.02405,0.999789,9.46413e-06,8.08815e-08,8.08815e-08,1.99314e-09,6578.137,0.26,1.0,0.07079,0.08912
1.528e-06,0.0001,0.564446,0.564446,0.435554,0.999451,0.00121265,8.62231e-07,8.62231e-07,6.65339e-07,6678.137,0.26,1.0,0.07079,0.08912
9.377e-06,0.0001,0.210056,0.210056,0.789944,0.99866,0.00552944,1.9698e-06,1.9698e-06,7.40769e-06,6778.137,0.26,1.0,0.07079,0.08912
1.202e-05,0.0001,0.147302,0.147302,0.852698,0.998423,0.00649929,1.77075e-06,1.77075e-06,1.02504e-05,6878.137,0.26,1.0,0.07079,0.08912
3.3e-05,0.0001,0.0574942,0.0574942,0.942506,0.998109,0.0164453,1.89752e-06,1.89752e-06,3.11062e-05,6978.137,0.26,1.0,0.07079,0.08912
8.88e-05,0.0001,0.0247288,0.0247288,0.975271,0.997596,0.0360189,2.19589e-06,2.19589e-06,8.66031e-05,7078.137,0.26,1.0,0.07079,0.08912
0.0001345,0.0001,0.0237299,0.0237299,0.97627,0.997817,0.0601489,3.19162e-06,3.19162e-06,0.000131306,7178.137,0.26,1.0,0.07079,0.08912
9.295e-05,0.0001,0.0300468,0.0300468,0.969953,0.998354,0.0547871,2.79287e-06,2.79287e-06,9.0158e-05,7278.137,0.26,1.0,0.07079,0.08912
5.458e-05,0.0001,0.0371404,0.0371404,0.96286,0.998611,0.0378382,2.02724e-06,2.02724e-06,5.25559e-05,7378.137,0.26,1.0,0.07079,0.08912
2.58e-05,0.0001,0.466488,0.0662133,0.933787,0.99875,0.0110147,1.20348e-05,9.75978e-07,1.37639e-05,7478.137,0.26,1.0,0.07079,0.08912
3e-05,0.0001,1.0,,,0.0,0.0,3.00008e-05,0.0,0.0,7578.137,0.26,1.0,0.07079,0.08912
4.437e-05,0.0001,1.0,,,0.0,0.0,4.43702e-05,0.0,0.0,7678.137,0.26,1.0,0.07079,0.08912
4.59e-08,0.0001,1.0,1.0,0.0,0.0,0.0,4.59049e-08,4.59049e-08,0.0,6578.137,0.26,1.0,0.08912,0.1122
1.254e-07,0.0001,0.81234,0.81234,0.18766,0.999457,4.33437e-05,1.01905e-07,1.01905e-07,2.35412e-08,6678.137,0.26,1.0,0.08912,0.1122
4.462e-07,0.0001,0.398515,0.398515,0.601485,0.999148,0.000315062,1.7782e-07,1.7782e-07,2.68387e-07,6778.137,0.26,1.0,0.08912,0.1122
1.338e-06,0.0001,0.190415,0.190415,0.809585,0.999264,0.00147161,2.54776e-07,2.54776e-07,1.08323e-06,6878.137,0.26,1.0,0.08912,0.1122
2.998e-06,0.0001,0.0997028,0.0997028,0.900297,0.998899,0.00245195,2.98946e-07,2.98946e-07,2.69942e-06,6978.137,0.26,1.0,0.08912,0.1122
7.613e-06,0.0001,0.0448605,0.0448605,0.955139,0.998483,0.00479243,3.4152e-07,3.4152e-07,7.27141e-06,7078.137,0.26,1.0,0.08912,0.1122
1.153e-05,0.0001,0.0393473,0.0393473,0.960653,0.998725,0.00869353,4.5383e-07,4.5383e-07,1.10801e-05,7178.137,0.26,1.0,0.08912,0.1122
8.85e-06,0.0001,0.0544076,0.0544076,0.945592,0.999031,0.00863776,4.8152e-07,4.8152e-07,8.36871e-06,7278.137,0.26,1.0,0.08912,0.1122
5.741e-06,0.0001,0.0684727,0.0684727,0.931527,0.999049,0.00562577,3.9308e-07,3.9308e-07,5.3476e-06,7378.137,0.26,1.0,0.08912,0.1122
3.079e-06,0.0001,0.0813914,0.0813914,0.918609,0.999018,0.00288034,2.50639e-07,2.50639e-07,2.82879e-06,7478.137,0.26,1.0,0.08912,0.1122
3.424e-06,0.0001,0.258184,0.0797008,0.920299,0.999161,0.00302838,8.84065e-07,2.19981e-07,2.54011e-06,7578.137,0.26,1.0,0.08912,0.1122
6.081e-06,0.0001,0.904707,0.064232,0.935768,0.999227,0.000749822,5.50115e-06,3.97732e-08,5.79438e-07,7678.137,0.26,1.0,0.08912,0.1122
7.379e-07,0.0001,0.995742,0.995742,0.00425777,0.999522,6.57209e-06,7.34742e-07,7.34742e-07,3.14174e-09,6578.137,0.26,1.0,0.1122,0.14125
3.23e-06,0.0001,0.927267,0.927267,0.0727331,0.999435,0.000415821,2.99486e-06,2.99486e-06,2.34912e-07,6678.137,0.26,1.0,0.1122,0.14125
1.157e-05,0.0001,0.371351,0.371351,0.628649,0.999259,0.00981785,4.29689e-06,4.29689e-06,7.27409e-06,6778.137,0.26,1.0,0.1122,0.14125
4.984e-05,0.0001,0.144441,0.144441,0.855559,0.999126,0.0487875,7.19882e-06,7.19882e-06,4.26404e-05,6878.137,0.26,1.0,0.1122,0.14125
0.0001081,0.0001,0.075046,0.075046,0.924954,0.998835,0.0858113,8.11332e-06,8.11332e-06,9.9998e-05,6978.137,0.26,1.0,0.1122,0.14125
0.0002175,0.0001,0.0417857,0.0417857,0.958214,0.998665,0.156097,9.08899e-06,9.08899e-06,0.000208425,7078.137,0.26,1.0,0.1122,0.14125
0.0003698,0.0001,0.0350789,0.0350789,0.964921,0.998794,0.295794,1.29733e-05,1.29733e-05,0.000356859,7178.137,0.26,1.0,0.1122,0.14125
0.0002556,0.0001,0.0554441,0.0554441,0.944556,0.999168,0.290395,1.41736e-05,1.41736e-05,0.000241464,7278.137,0.26,1.0,0.1122,0.14125
0.0001321,0.0001,0.0741039,0.0741039,0.925896,0.999218,0.156497,9.78929e-06,9.78929e-06,0.000122313,7378.137,0.26,1.0,0.1122,0.14125
8.498e-05,0.0001,0.0939999,0.0939999,0.906,0.999294,0.10906,7.98831e-06,7.98831e-06,7.69939e-05,7478.137,0.26,1.0,0.1122,0.14125
6.777e-05,0.0001,0.0936064,0.0936064,0.906394,0.999233,0.0800578,6.34412e-06,6.34412e-06,6.14303e-05,7578.137,0.26,1.0,0.1122,0.14125
