annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor,particle_size_min,particle_size_max
9.699e-05,0.0001,1.0,1.0,0.0,0.0,0.0,9.69936e-05,8.06843e-05,0.0,6578.137,0.26,1.0,0.01,0.33
0.000312,0.0001,1.0,1.0,0.0,0.0,0.0,0.000312049,0.000142212,0.0,6678.137,0.26,1.0,0.01,0.33
0.0007394,0.0001,1.0,1.0,0.0,0.0,0.0,0.00073945,0.00023351,0.0,6778.137,0.26,1.0,0.01,0.33
0.001795,0.0001,1.0,1.0,0.0,0.0,0.0,0.00179488,0.000562041,0.0,6878.137,0.26,1.0,0.01,0.33
0.0043,0.0001,1.0,1.0,0.0,0.0,0.0,0.00430033,0.00114086,0.0,6978.137,0.26,1.0,0.01,0.33
0.007614,0.0001,1.0,1.0,0.0,0.0,0.0,0.0076141,0.00187463,0.0,7078.137,0.26,1.0,0.01,0.33
0.01303,0.0001,1.0,1.0,0.0,0.0,0.0,0.0130329,0.00245966,0.0,7178.137,0.26,1.0,0.01,0.33
