annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,radar_wavelength,d_ref,scaling_factor
0.002415,0.013,0.940986,0.895006,0.104994,0.971522,0.00500555,0.00227294,0.00121513,0.000142547,6878.137,0.075,0.26,1.0
0.002415,0.1,0.990141,0.982459,0.0175413,0.845949,0.000154594,0.00239167,0.00133386,2.38153e-05,6878.137,0.075,0.26,1.0
0.004625,1e-09,0.647463,0.0,1.0,0.999994,255.134,0.0029944,0.0,0.00163042,6978.137,0.075,0.26,1.0
0.004625,7.7e-09,0.647517,0.0,1.0,0.999991,180.297,0.00299465,0.0,0.00163017,6978.137,0.075,0.26,1.0
0.004625,6e-08,0.647931,0.0,1.0,0.999984,105.03,0.00299656,0.0,0.00162825,6978.137,0.075,0.26,1.0
0.004625,4.6e-07,0.651075,0.00861001,0.99139,0.999947,30.6543,0.00301111,1.40148e-05,0.00161371,6978.137,0.075,0.26,1.0
0.004625,3.6e-06,0.655548,0.0213177,0.978682,0.999835,9.62804,0.00303179,3.46995e-05,0.00159303,6978.137,0.075,0.26,1.0
0.004625,2.8e-05,0.671057,0.0653845,0.934616,0.999448,2.75838,0.00310352,0.000106428,0.0015213,6978.137,0.075,0.26,1.0
0.004625,0.00022,0.700085,0.147861,0.852139,0.99845,0.894923,0.00323777,0.000240678,0.00138705,6978.137,0.075,0.26,1.0
0.004625,0.0017,0.806661,0.450672,0.549328,0.994046,0.150189,0.00373066,0.000733573,0.000894156,6978.137,0.075,0.26,1.0
0.004625,0.013,0.943384,0.839139,0.160861,0.970167,0.00877689,0.00436298,0.00136589,0.000261838,6978.137,0.075,0.26,1.0
0.004625,0.1,0.98605,0.960363,0.0396371,0.827754,0.000374572,0.0045603,0.00156321,6.45184e-05,6978.137,0.075,0.26,1.0
0.008832,1e-09,0.743664,0.0,1.0,0.999982,128.141,0.00656772,0.0,0.00226385,7078.137,0.075,0.26,1.0
0.008832,7.7e-09,0.743677,0.0,1.0,0.999975,91.7745,0.00656784,0.0,0.00226373,7078.137,0.075,0.26,1.0
0.008832,6e-08,0.743783,0.0,1.0,0.999959,55.1967,0.00656877,0.0,0.0022628,7078.137,0.075,0.26,1.0
0.008832,4.6e-07,0.744584,0.00303803,0.996962,0.999881,19.0254,0.00657585,6.87385e-06,0.00225572,7078.137,0.075,0.26,1.0
0.008832,3.6e-06,0.74594,0.00833199,0.991668,0.999711,7.76792,0.00658783,1.88519e-05,0.00224375,7078.137,0.075,0.26,1.0
0.008832,2.8e-05,0.751673,0.0307078,0.969292,0.999286,3.07348,0.00663845,6.94794e-05,0.00219312,7078.137,0.075,0.26,1.0
0.008832,0.00022,0.767764,0.0935143,0.906486,0.99845,1.32299,0.00678056,0.000211585,0.00205101,7078.137,0.075,0.26,1.0
0.008832,0.0017,0.850955,0.418236,0.581764,0.994335,0.23237,0.00751527,0.0009463,0.0013163,7078.137,0.075,0.26,1.0
0.008832,0.013,0.961396,0.849319,0.150681,0.976484,0.0144976,0.00849064,0.00192167,0.00034093,7078.137,0.075,0.26,1.0
0.008832,0.1,0.994085,0.976913,0.0230865,0.83378,0.000314256,0.00877934,0.00221036,5.22356e-05,7078.137,0.075,0.26,1.0
0.01339,1e-09,0.800992,0.0,1.0,0.999969,86.1011,0.0107248,0.0,0.00266458,7178.137,0.075,0.26,1.0
0.01339,7.7e-09,0.800998,0.0,1.0,0.999958,62.7514,0.0107248,0.0,0.0026645,7178.137,0.075,0.26,1.0
0.01339,6e-08,0.801043,0.0,1.0,0.999932,39.2646,0.0107254,0.0,0.0026639,7178.137,0.075,0.26,1.0
0.01339,4.6e-07,0.801383,0.0015996,0.9984,0.999834,16.0151,0.01073,4.26071e-06,0.00265935,7178.137,0.075,0.26,1.0
0.01339,3.6e-06,0.802076,0.005081,0.994919,0.999661,7.81456,0.0107393,1.35338e-05,0.00265008,7178.137,0.075,0.26,1.0
0.01339,2.8e-05,0.805325,0.0214141,0.978586,0.999329,3.8872,0.0107828,5.70389e-05,0.00260657,7178.137,0.075,0.26,1.0
0.01339,0.00022,0.819239,0.0913578,0.908642,0.9986,1.72847,0.0109691,0.000243342,0.00242027,7178.137,0.075,0.26,1.0
0.01339,0.0017,0.890095,0.447536,0.552464,0.994417,0.263591,0.0119178,0.00119206,0.00147155,7178.137,0.075,0.26,1.0
0.01339,0.013,0.972163,0.860071,0.139929,0.97421,0.0144521,0.0130166,0.00229089,0.000372717,7178.137,0.075,0.26,1.0
0.01339,0.1,0.995325,0.976498,0.0235016,0.836048,0.000381813,0.0133267,0.00260101,6.25992e-05,7178.137,0.075,0.26,1.0
0.01003,1e-09,0.866183,0.0,1.0,0.999975,53.1859,0.00868544,0.0,0.00134181,7278.137,0.075,0.26,1.0
0.01003,7.7e-09,0.866188,0.0,1.0,0.999965,38.7989,0.00868549,0.0,0.00134176,7278.137,0.075,0.26,1.0
0.01003,6e-08,0.866225,0.0,1.0,0.999945,24.3278,0.00868585,0.0,0.0013414,7278.137,0.075,0.26,1.0
0.01003,4.6e-07,0.866505,0.00206046,0.99794,0.999866,9.99562,0.00868866,2.7638e-06,0.00133859,7278.137,0.075,0.26,1.0
0.01003,3.6e-06,0.867071,0.00629194,0.993708,0.999732,4.97349,0.00869434,8.4397e-06,0.00133291,7278.137,0.075,0.26,1.0
0.01003,2.8e-05,0.869823,0.0268662,0.973134,0.999479,2.50393,0.00872194,3.6037e-05,0.00130531,7278.137,0.075,0.26,1.0
0.01003,0.00022,0.882738,0.123409,0.876591,0.998845,1.01785,0.00885143,0.000165535,0.00117582,7278.137,0.075,0.26,1.0
0.01003,0.0017,0.933985,0.506503,0.493497,0.995299,0.140822,0.0093653,0.000679398,0.000661953,7278.137,0.075,0.26,1.0
0.01003,0.013,0.98302,0.873066,0.126934,0.972585,0.00621062,0.00985699,0.00117109,0.000170263,7278.137,0.075,0.26,1.0
0.01003,0.1,0.997312,0.979907,0.0200926,0.819587,0.000149386,0.0100003,0.0013144,2.69512e-05,7278.137,0.075,0.26,1.0
0.006233,1e-09,0.882388,0.0,1.0,0.999979,34.2199,0.00549991,0.0,0.000733074,7378.137,0.075,0.26,1.0
0.006233,7.7e-09,0.882393,0.0,1.0,0.99997,24.6108,0.00549994,0.0,0.000733043,7378.137,0.075,0.26,1.0
0.006233,6e-08,0.882432,0.0,1.0,0.999951,14.9452,0.00550018,0.0,0.000732797,7378.137,0.075,0.26,1.0
0.006233,4.6e-07,0.882734,0.00210708,0.997893,0.999864,5.36526,0.00550206,1.54336e-06,0.000730917,7378.137,0.075,0.26,1.0
0.006233,3.6e-06,0.88327,0.00667251,0.993327,0.999677,2.25463,0.00550541,4.88735e-06,0.000727573,7378.137,0.075,0.26,1.0
0.006233,2.8e-05,0.88554,0.0259881,0.974012,0.999263,0.96791,0.00551955,1.90353e-05,0.000713426,7378.137,0.075,0.26,1.0
0.006233,0.00022,0.893444,0.0932436,0.906756,0.998201,0.369245,0.00556882,6.82973e-05,0.000664164,7378.137,0.075,0.26,1.0
0.006233,0.0017,0.923009,0.344834,0.655166,0.992459,0.0636389,0.0057531,0.000252577,0.000479883,7378.137,0.075,0.26,1.0
0.006233,0.013,0.959137,0.65227,0.34773,0.961928,0.00668982,0.00597828,0.000477762,0.000254698,7378.137,0.075,0.26,1.0
0.006233,0.1,0.989064,0.906937,0.0930629,0.843136,0.000434547,0.00616482,0.000664296,6.81649e-05,7378.137,0.075,0.26,1.0
0.004549,1e-09,0.935473,0.0,1.0,0.999987,22.6838,0.0042551,0.0,0.000293506,7478.137,0.075,0.26,1.0
0.004549,7.7e-09,0.935478,0.0,1.0,0.999982,16.2511,0.00425512,0.0,0.000293485,7478.137,0.075,0.26,1.0
