 36 36 +3.9860043600D+05  N  M  MU        MODEL: GEM-T1
  0  1  6.3781370000D+03  -  -  AE
 1  40 -4.3763993990D-06  C( 9, 4)*MU
 2  40 +7.9352214210D-06  S( 9, 4)*MU
 1  41 -5.7534089850D-07  C( 9, 5)*MU
 2  41 -2.4487010870D-06  S( 9, 5)*MU
 1  42 +3.7119862290D-07  C( 9, 6)*MU
 2  42 +1.1401735030D-06  S( 9, 6)*MU
 1  43 -9.0116625550D-08  C( 9, 7)*MU
 2  43 -7.6387301310D-08  S( 9, 7)*MU
 1  44 +2.4037027630D-08  C( 9, 8)*MU
 2  44 -2.4095538750D-10  S( 9, 8)*MU
 1  45 -1.7057270840D-09  C( 9, 9)*MU
 2  45 +2.9968110410D-09  S( 9, 9)*MU
 1  46 +1.8956680230D-02  C(10, 1)*MU
 2  46 -3.4016859830D-02  S(10, 1)*MU
 1  47 -1.9083783000D-03  C(10, 2)*MU
 2  47 -1.2166691680D-03  S(10, 2)*MU
 1  48 +3.0489133400D-06  C(10, 3)*MU
 2  48 -3.7528633520D-04  S(10, 3)*MU
 1  49 -2.2845051620D-05  C(10, 4)*MU
 2  49 -1.6288243300D-05  S(10, 4)*MU
 1  50 -1.2481849280D-06  C(10, 5)*MU
 2  50 -1.0845367840D-06  S(10, 5)*MU
 1  51 -9.6105012210D-08  C(10, 6)*MU
 2  51 -2.1502292770D-07  S(10, 6)*MU
 1  52 +3.2701300600D-09  C(10, 7)*MU
 2  52 -1.4393680220D-09  S(10, 7)*MU
 1  53 +1.9973466960D-09  C(10, 8)*MU
 2  53 -4.2223898110D-09  S(10, 8)*MU
 1  54 +9.4936720120D-10  C(10, 9)*MU
 2  54 -3.5689128220D-10  S(10, 9)*MU
 1  55 +1.5660502090D-10  C(10,10)*MU
 2  55 -3.3295367860D-11  S(10,10)*MU
 1  56 +2.2358264090D-03  C(11, 1)*MU
 2  56 -6.5440794320D-03  S(11, 1)*MU
 1  57 +1.8685537040D-04  C(11, 2)*MU
 2  57 -2.0480992780D-03  S(11, 2)*MU
 1  58 -5.3114515180D-05  C(11, 3)*MU
 2  58 -2.4359959320D-04  S(11, 3)*MU
 1  59 -5.5739339290D-06  C(11, 4)*MU
 2  59 -1.1749041560D-05  S(11, 4)*MU
 1  60 +7.2806050690D-07  C(11, 5)*MU
 2  60 +8.7675700630D-07  S(11, 5)*MU
 1  61 +1.3303788090D-08  C(11, 6)*MU
 2  61 +3.8143245620D-08  S(11, 6)*MU
 1  62 +1.5905299730D-09  C(11, 7)*MU
 2  62 -1.5209531810D-08  S(11, 7)*MU
 1  63 -1.2062046790D-10  C(11, 8)*MU
 2  63 +4.2876667490D-10  S(11, 8)*MU
 1  64 -9.5048997180D-11  C(11, 9)*MU
 2  64 +9.8744236280D-11  S(11, 9)*MU
 1  65 -1.9689451340D-11  C(11,10)*MU
 2  65 -6.6614352560D-12  S(11,10)*MU
 1  66 +4.3811788230D-12  C(11,11)*MU
 2  66 -4.4131527740D-12  S(11,11)*MU
 1  67 -1.1116398930D-02  C(12, 1)*MU
 2  67 -1.1204613780D-02  S(12, 1)*MU
 1  68 +1.3892964810D-04  C(12, 2)*MU
 2  68 +6.3497012910D-04  S(12, 2)*MU
 1  69 +4.8135458490D-05  C(12, 3)*MU
 2  69 +2.6642077290D-05  S(12, 3)*MU
 1  70 -8.0797792830D-06  C(12, 4)*MU
 2  70 -3.7273199840D-07  S(12, 4)*MU
 1  71 +3.2469996010D-07  C(12, 5)*MU
 2  71 -1.5644051640D-08  S(12, 5)*MU
 1  72 +1.3120000620D-09  C(12, 6)*MU
 2  72 +4.3320034320D-08  S(12, 6)*MU
 1  73 -1.1240505670D-09  C(12, 7)*MU
 2  73 +3.0832464550D-09  S(12, 7)*MU
 1  74 -1.8782996780D-10  C(12, 8)*MU
 2  74 +1.4964797990D-10  S(12, 8)*MU
 1  75 +4.5336808300D-11  C(12, 9)*MU
 2  75 +1.2771277420D-11  S(12, 9)*MU
 1  76 -1.0851702960D-12  C(12,10)*MU
 2  76 +3.7663060210D-12  S(12,10)*MU
 1  77 +9.4910978260D-14  C(12,11)*MU
 2  77 -1.6693149820D-13  S(12,11)*MU
 1  78 -1.2624142920D-14  C(12,12)*MU
 2  78 -4.2210256910D-14  S(12,12)*MU
 1  79 -1.1737850170D-02  C(13, 1)*MU
 2  79 +9.4350307780D-03  S(13, 1)*MU
 1  80 +8.6476307260D-04  C(13, 2)*MU
 2  80 -9.3189664740D-04  S(13, 2)*MU
 1  81 -1.7109457700D-05  C(13, 3)*MU
 2  81 +1.0205442580D-04  S(13, 3)*MU
 1  82 -8.2501904650D-07  C(13, 4)*MU
 2  82 -3.4912168290D-08  S(13, 4)*MU
 1  83 +4.3822709100D-07  C(13, 5)*MU
