annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.001098,1e-06,0.713584,0.0,1.0,0.999948,6.08067,0.000783612,0.0,0.000314524,0.26,1.0
0.001098,1e-05,0.724769,0.0189357,0.981064,0.999858,2.12582,0.000795895,5.83363e-06,0.000302241,0.26,1.0
0.001098,0.0001,0.776221,0.202337,0.797663,0.999588,0.595769,0.000852396,6.23349e-05,0.00024574,0.26,1.0
0.001098,0.001,0.891682,0.6139,0.3861,0.997753,0.0529433,0.000979188,0.000189127,0.000118948,0.26,1.0
0.001098,0.01,0.971268,0.897585,0.102415,0.97379,0.00120381,0.00106658,0.000276524,3.15514e-05,0.26,1.0
0.001098,0.1,0.995633,0.984433,0.0155672,0.855572,3.32057e-05,0.00109334,0.000303279,4.79585e-06,0.26,1.0
