annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.0008339,1e-06,0.678829,0.0,1.0,0.999951,5.51426,0.000566052,0.0,0.000267813,0.26,1.0
0.0008339,1e-05,0.691993,0.0,1.0,0.999874,2.03372,0.000577029,0.0,0.000256836,0.26,1.0
0.0008339,0.0001,0.76177,0.208753,0.791247,0.999579,0.471871,0.000635213,5.24099e-05,0.000198652,0.26,1.0
0.0008339,0.001,0.88923,0.632094,0.367906,0.997674,0.039705,0.000741498,0.000158695,9.23671e-05,0.26,1.0
0.0008339,0.01,0.964831,0.883193,0.116807,0.975411,0.00119265,0.000804539,0.000221736,2.93258e-05,0.26,1.0
0.0008339,0.1,0.995863,0.986261,0.0137394,0.862141,2.50215e-05,0.000830416,0.000247612,3.44943e-06,0.26,1.0
