annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.0002331,1e-06,0.249744,0.0,1.0,0.999943,3.05427,5.82246e-05,0.0,0.000174913,0.32,1.0
0.0002331,1e-05,0.275688,0.0,1.0,0.999852,1.14258,6.42732e-05,0.0,0.000168864,0.32,1.0
0.0002331,0.0001,0.413032,0.178157,0.821843,0.999511,0.279913,9.62932e-05,2.96646e-05,0.000136844,0.32,1.0
0.0002331,0.001,0.682737,0.555784,0.444216,0.997139,0.025849,0.000159171,9.25429e-05,7.3966e-05,0.32,1.0
0.0002331,0.01,0.874212,0.823878,0.176122,0.975411,0.00119265,0.000203812,0.000137183,2.93258e-05,0.32,1.0
0.0002331,0.1,0.985204,0.979284,0.0207162,0.862141,2.50215e-05,0.000229688,0.000163059,3.44943e-06,0.32,1.0
