annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,d_ref,scaling_factor
0.0008339,1e-06,0.790238,0.0,1.0,0.999943,3.05427,0.000658952,0.0,0.000174913,0.32,1.0
0.0008339,1e-05,0.797492,0.0,1.0,0.999852,1.14258,0.000665001,0.0,0.000168864,0.32,1.0
0.0008339,0.0001,0.835892,0.178157,0.821843,0.999511,0.279913,0.000697021,2.96646e-05,0.000136844,0.32,1.0
0.0008339,0.001,0.911297,0.555784,0.444216,0.997139,0.025849,0.000759899,9.25429e-05,7.3966e-05,0.32,1.0
0.0008339,0.01,0.964831,0.823878,0.176122,0.975411,0.00119265,0.000804539,0.000137183,2.93258e-05,0.32,1.0
0.0008339,0.1,0.995863,0.979284,0.0207162,0.862141,2.50215e-05,0.000830416,0.000163059,3.44943e-06,0.32,1.0
