annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,d_ref,scaling_factor
0.01859,0.0001,0.881082,0.0399003,0.9601,0.998607,1.58681,0.0163768,9.18584e-05,0.00221034,7278.137,0.26,0.8
0.01414,0.0001,0.908268,0.0411197,0.95888,0.998503,0.866697,0.0128439,5.56278e-05,0.0012972,7378.137,0.26,0.8
0.01053,0.0001,0.942463,0.0501629,0.949837,0.998627,0.441089,0.00991956,3.1982e-05,0.00060558,7478.137,0.26,0.8
0.009623,0.0001,0.957179,0.0516641,0.948336,0.998696,0.31611,0.009211,2.24488e-05,0.000412066,7578.137,0.26,0.8
0.0001927,0.0001,0.909681,0.89411,0.10589,0.999567,0.0401818,0.000175339,0.000146996,1.74088e-05,6578.137,0.26,0.9
0.0006532,0.0001,0.924486,0.862251,0.137749,0.999413,0.0840667,0.000603899,0.00030877,4.93276e-05,6678.137,0.26,0.9
0.001384,0.0001,0.803899,0.462453,0.537547,0.999209,0.342981,0.00111269,0.000233509,0.000271427,6778.137,0.26,0.9
0.003397,0.0001,0.694832,0.173654,0.826346,0.999056,1.09871,0.00236035,0.00021785,0.00103666,6878.137,0.26,0.9
0.00812,0.0001,0.700437,0.0734008,0.926599,0.99807,1.26,0.00568747,0.000192685,0.00243242,6978.137,0.26,0.9
0.01361,0.0001,0.740301,0.0466443,0.953356,0.998219,1.98345,0.0100721,0.000172873,0.00353333,7078.137,0.26,0.9
0.02319,0.0001,0.793311,0.0298043,0.970196,0.998308,2.83301,0.0183941,0.000147223,0.00479242,7178.137,0.26,0.9
0.01859,0.0001,0.881323,0.0418417,0.958158,0.998708,1.70749,0.0163812,9.63279e-05,0.00220587,7278.137,0.26,0.9
0.01414,0.0001,0.908387,0.042365,0.957635,0.998593,0.920613,0.0128456,5.73124e-05,0.00129551,7378.137,0.26,0.9
0.01053,0.0001,0.942555,0.0516751,0.948325,0.998689,0.461301,0.00992053,3.29461e-05,0.000604616,7478.137,0.26,0.9
0.009623,0.0001,0.957245,0.0531128,0.946887,0.998757,0.330918,0.00921163,2.30783e-05,0.000411436,7578.137,0.26,0.9
